auction_number,accepted_amount_2nd_round,maturity_date,amount_to_central_bank,quantity_accepted_2nd_round,quantity_accepted,rate,auction_type,auction_date,accepted_amount,benchmark,quantity_tendered,bond_type,quantity_to_central_bank,settlement_date
22,"138870679,58",2026-08-15,0.0,45415,260150,5.88,Venda,2017-01-10,795490637.5,NTN-B 10 anos,1500000,NTN-B,0,2017-01-11
22,"340247431,4",2022-08-15,0.0,112058,1018700,5.97,Venda,2017-01-10,3093130864.53,NTN-B 5 anos,1500000,NTN-B,0,2017-01-11
26,"66232867,03",2023-03-01,0.0,7835,1000000,0.0647,Venda,2017-01-12,8453458573.62,LFT 6 anos,1000000,LFT,0,2017-01-13
25,"200608459,9",2020-07-01,0.0,285000,5000000,10.78,Venda,2017-01-12,3518011257.39,LTN 48 meses,5000000,LTN,0,2017-01-13
25,0,2019-04-01,0.0,0,3000000,10.518,Venda,2017-01-12,2411274812.6,LTN 24 meses,3000000,LTN,0,2017-01-13
25,0,2018-04-01,0.0,0,1000000,10.7447,Venda,2017-01-12,885278279.3,LTN 12 meses,1000000,LTN,0,2017-01-13
36,"380675479,59",2027-01-01,0.0,399997,2000000,11.0049,Venda,2017-01-19,1902600464.11,NTN-F 10 anos,2000000,NTN-F,0,2017-01-20
36,"291305520,44",2023-01-01,0.0,299998,1500000,10.91,Venda,2017-01-19,1455933641.67,NTN-F 7 anos,1500000,NTN-F,0,2017-01-20
35,"706907394,33",2020-07-01,0.0,999996,5000000,10.704,Venda,2017-01-19,3533123021.09,LTN 48 meses,5000000,LTN,0,2017-01-20
35,"644843296,16",2019-04-01,0.0,799997,4000000,10.489,Venda,2017-01-19,3222948542.69,LTN 24 meses,4000000,LTN,0,2017-01-20
35,"185788843,72",2017-10-01,0.0,200000,1000000,11.334,Venda,2017-01-19,928548527.0,LTN 6 meses,1000000,LTN,0,2017-01-20
43,"548075944,75",2022-08-15,0.0,178087,894100,5.7589,Venda,2017-01-24,2751659033.2,NTN-B 5 anos,1500000,NTN-B,0,2017-01-25
43,"97889515,69",2035-05-15,0.0,31138,185000,5.58,Venda,2017-01-24,581590353.2,NTN-B 20 anos,300000,NTN-B,0,2017-01-25
43,"65054305,6",2055-05-15,0.0,20238,115000,5.55,Venda,2017-01-24,369663264.76,NTN-B 40 anos,300000,NTN-B,0,2017-01-25
43,"347843070,86",2026-08-15,0.0,111822,605900,5.69,Venda,2017-01-24,1884764328.06,NTN-B 10 anos,1500000,NTN-B,0,2017-01-25
54,0,2023-03-01,0.0,0,1000000,0.064,Venda,2017-01-26,8494547652.18,LFT 6 anos,1000000,LFT,0,2017-01-27
53,"780014786,15",2020-07-01,0.0,1099997,5500000,10.674,Venda,2017-01-26,3898511378.89,LTN 48 meses,5500000,LTN,0,2017-01-27
53,"403788904,32",2019-04-01,0.0,499998,2500000,10.4914,Venda,2017-01-26,2018151052.93,LTN 24 meses,2500000,LTN,0,2017-01-27
53,"78272182,72",2018-04-01,0.0,88000,1000000,10.719,Venda,2017-01-26,889096769.85,LTN 12 meses,1000000,LTN,0,2017-01-27
70,"194452270,71",2027-01-01,0.0,199999,1000000,10.6989,Venda,2017-02-02,971871756.53,NTN-F 10 anos,1000000,NTN-F,0,2017-02-03
70,"196524014,14",2023-01-01,0.0,199996,872550,10.7197,Venda,2017-02-02,857053117.25,NTN-F 7 anos,1000000,NTN-F,0,2017-02-03
69,"427588589,51",2020-07-01,0.0,599999,3000000,10.572,Venda,2017-02-02,2137092476.86,LTN 48 meses,3000000,LTN,0,2017-02-03
69,"649083166,36",2019-04-01,0.0,800000,4000000,10.348,Venda,2017-02-02,3244147936.0,LTN 24 meses,4000000,LTN,0,2017-02-03
69,"186434762,55",2017-10-01,0.0,199732,1000000,11.2399,Venda,2017-02-02,933029852.24,LTN 6 meses,1000000,LTN,0,2017-02-03
77,"136072678,29",2055-05-15,0.0,41127,206000,5.389,Venda,2017-02-07,681571029.98,NTN-B 40 anos,300000,NTN-B,0,2017-02-08
77,"59974391,37",2035-05-15,0.0,18770,94000,5.47,Venda,2017-02-07,300351240.87,NTN-B 20 anos,300000,NTN-B,0,2017-02-08
77,"212842400,93",2026-08-15,0.0,67844,339650,5.63,Venda,2017-02-07,1065561014.86,NTN-B 10 anos,1250000,NTN-B,0,2017-02-08
77,"562234354,13",2022-08-15,0.0,182039,910350,5.7789,Venda,2017-02-07,2811650494.54,NTN-B 5 anos,1250000,NTN-B,0,2017-02-08
118,"179052633,54",2018-04-01,0.0,200000,1000000,10.474,Venda,2017-02-09,894908905.1,LTN 12 meses,1000000,LTN,0,2017-02-10
118,"1142251643,36",2019-04-01,0.0,1400000,7000000,10.1579,Venda,2017-02-09,5709060000.0,LTN 24 meses,7000000,LTN,0,2017-02-10
119,"215678666,67",2023-03-01,0.0,25271,1000000,0.0637,Venda,2017-02-09,8534634349.18,LFT 6 anos,1000000,LFT,0,2017-02-10
118,"575489856,66",2020-07-01,0.0,799995,4000000,10.327,Venda,2017-02-09,2876342974.28,LTN 48 meses,4000000,LTN,0,2017-02-10
126,0,2027-01-01,0.0,0,2000000,10.3669,Venda,2017-02-16,1990839736.87,NTN-F 10 anos,2000000,NTN-F,0,2017-02-17
126,0,2023-01-01,0.0,0,2000000,10.373,Venda,2017-02-16,2001428428.78,NTN-F 7 anos,2000000,NTN-F,0,2017-02-17
125,0,2020-07-01,0.0,0,4500000,10.2639,Venda,2017-02-16,3248336863.57,LTN 48 meses,4500000,LTN,0,2017-02-17
125,0,2019-04-01,0.0,0,4500000,10.0983,Venda,2017-02-16,3681773566.15,LTN 24 meses,4500000,LTN,0,2017-02-17
125,"60084569,4",2017-10-01,0.0,64000,1000000,10.9584,Venda,2017-02-16,938433867.6,LTN 6 meses,1000000,LTN,0,2017-02-17
139,"159621845,72",2055-05-15,0.0,46702,274750,5.1999,Venda,2017-02-21,939062612.42,NTN-B 40 anos,300000,NTN-B,0,2017-02-22
139,"11808226,32",2035-05-15,0.0,3612,25250,5.2893,Venda,2017-02-21,82546432.98,NTN-B 20 anos,300000,NTN-B,0,2017-02-22
139,"83798576,49",2026-08-15,0.0,27177,144950,5.52,Venda,2017-02-21,446944242.4,NTN-B 10 anos,1250000,NTN-B,0,2017-02-22
139,"554770481,47",2022-08-15,0.0,183362,1105050,5.672,Venda,2017-02-21,3343381511.28,NTN-B 5 anos,1250000,NTN-B,0,2017-02-22
153,"238707742,68",2023-03-01,10291344804.897655,27834,1000000,0.063,Venda,2017-02-23,8576123008.55,LFT 6 anos,1000000,LFT,1200000,2017-02-24
152,0,2020-07-01,0.0,0,5500000,10.0629,Venda,2017-02-23,4002367441.94,LTN 48 meses,5500000,LTN,0,2017-02-24
152,0,2019-04-01,0.0,0,6000000,9.8599,Venda,2017-02-23,4940559244.47,LTN 24 meses,6000000,LTN,0,2017-02-24
152,0,2018-04-01,6043649541.5,0,1000000,10.0688,Venda,2017-02-23,902037244.7,LTN 12 meses,1000000,LTN,6700000,2017-02-24
161,"576199378,02",2019-04-01,0.0,697998,3500000,9.804,Venda,2017-03-02,2888183401.45,LTN 24 meses,3500000,LTN,0,2017-03-03
161,"142941691,04",2017-10-01,0.0,151531,1000000,10.675,Venda,2017-03-02,942936910.94,LTN 6 meses,1000000,LTN,0,2017-03-03
162,"138773233,9",2023-01-01,0.0,137331,1000000,10.209,Venda,2017-03-02,1010109396.04,NTN-F 7 anos,1000000,NTN-F,0,2017-03-03
161,"375249171,63",2020-07-01,0.0,514307,3000000,10.04,Venda,2017-03-02,2188029645.15,LTN 48 meses,3000000,LTN,0,2017-03-03
162,"17437333,57",2027-01-01,0.0,17339,1000000,10.2399,Venda,2017-03-02,1005281912.75,NTN-F 10 anos,1000000,NTN-F,0,2017-03-03
168,-,2055-05-15,0.0,-,0,0.0,Compra,2017-03-07,0.0,NTN-B 40 anos,150000,NTN-B,0,2017-03-08
167,0,2055-05-15,0.0,0,51100,5.11,Venda,2017-03-07,177789770.08,NTN-B 40 anos,150000,NTN-B,0,2017-03-08
168,-,2050-08-15,0.0,-,0,0.0,Compra,2017-03-07,0.0,,150000,NTN-B,0,2017-03-08
168,-,2045-05-15,0.0,-,0,0.0,Compra,2017-03-07,0.0,,150000,NTN-B,0,2017-03-08
168,-,2040-08-15,0.0,-,0,0.0,Compra,2017-03-07,0.0,,150000,NTN-B,0,2017-03-08
168,-,2035-05-15,0.0,-,0,0.0,Compra,2017-03-07,0.0,NTN-B 20 anos,150000,NTN-B,0,2017-03-08
167,"83766181,57",2026-08-15,0.0,26762,390100,5.36,Venda,2017-03-07,1221029349.06,NTN-B 10 anos,1250000,NTN-B,0,2017-03-08
167,"463051452,76",2022-08-15,0.0,151017,859900,5.459,Venda,2017-03-07,2636643187.64,NTN-B 5 anos,1250000,NTN-B,0,2017-03-08
167,"1921467,57",2035-05-15,0.0,578,24200,5.17,Venda,2017-03-07,80448988.52,NTN-B 20 anos,150000,NTN-B,0,2017-03-08
175,"257500444,01",2023-03-01,0.0,29913,1000000,0.0621,Venda,2017-03-09,8608313774.01,LFT 6 anos,1000000,LFT,0,2017-03-10
174,"582964815,38",2020-07-01,0.0,799997,4000000,10.1288,Venda,2017-03-09,2913718441.63,LTN 48 meses,4000000,LTN,0,2017-03-10
174,"495882786,28",2019-04-01,0.0,599997,3000000,9.8387,Venda,2017-03-09,2478503094.02,LTN 24 meses,3000000,LTN,0,2017-03-10
174,"170309784,23",2018-04-01,0.0,188000,1000000,9.974,Venda,2017-03-09,905561279.96,LTN 12 meses,1000000,LTN,0,2017-03-10
180,"16768440,27",2017-10-01,0.0,17684,1000000,10.4369,Venda,2017-03-16,947852955.46,LTN 6 meses,1000000,LTN,0,2017-03-17
180,"127389363,07",2019-04-01,0.0,153257,5000000,9.628,Venda,2017-03-16,4154553680.47,LTN 24 meses,5000000,LTN,0,2017-03-17
181,"203060417,07",2023-01-01,0.0,199998,1000000,10.1909,Venda,2017-03-16,1014918392.31,NTN-F 7 anos,1000000,NTN-F,0,2017-03-17
181,"184964159,96",2027-01-01,0.0,183222,1000000,10.2469,Venda,2017-03-16,1009116163.83,NTN-F 10 anos,1000000,NTN-F,0,2017-03-17
180,"587047832,08",2020-07-01,0.0,799997,4000000,9.968,Venda,2017-03-16,2934138632.08,LTN 48 meses,4000000,LTN,0,2017-03-17
214,"3376263,72",2055-05-15,0.0,968,80700,5.11,Venda,2017-03-21,281471573.24,NTN-B 40 anos,150000,NTN-B,0,2017-03-22
214,"835250,11",2035-05-15,0.0,250,69300,5.147,Venda,2017-03-21,231531330.95,NTN-B 20 anos,150000,NTN-B,0,2017-03-22
214,"97085616,09",2026-08-15,0.0,30723,236700,5.26,Venda,2017-03-21,747979212.44,NTN-B 10 anos,1250000,NTN-B,0,2017-03-22
214,"589553227,41",2022-08-15,0.0,190251,1013300,5.279,Venda,2017-03-21,3140032301.68,NTN-B 5 anos,1250000,NTN-B,0,2017-03-22
222,"582256286,98",2019-04-01,0.0,699996,3500000,9.6939,Venda,2017-03-23,2910225087.89,LTN 24 meses,3500000,LTN,0,2017-03-24
222,"182212176,11",2018-04-01,0.0,199999,1000000,9.768,Venda,2017-03-23,910728452.81,LTN 12 meses,1000000,LTN,0,2017-03-24
223,"197452719,86",2023-03-01,0.0,22831,1000000,0.0605,Venda,2017-03-23,8648446858.59,LFT 6 anos,1000000,LFT,0,2017-03-24
222,"513282510,17",2020-07-01,0.0,699998,3500000,10.0449,Venda,2017-03-23,2565440599.04,LTN 48 meses,3500000,LTN,0,2017-03-24
229,"306681042,16",2027-01-01,0.0,299998,1500000,10.0849,Venda,2017-03-30,1532825721.11,NTN-F 10 anos,1500000,NTN-F,0,2017-03-31
227,-,2027-01-01,0.0,-,0,0.0,Compra,2017-03-30,0.0,NTN-F 10 anos,150000,NTN-F,0,2017-03-31
227,-,2025-01-01,0.0,-,0,0.0,Compra,2017-03-30,0.0,,150000,NTN-F,0,2017-03-31
229,"205315161,71",2023-01-01,0.0,200000,1000000,9.9999,Venda,2017-03-30,1026185986.4,NTN-F 7 anos,1000000,NTN-F,0,2017-03-31
228,"430487284,99",2020-07-01,0.0,582753,4500000,9.862,Venda,2017-03-30,3322965730.19,LTN 48 meses,4500000,LTN,0,2017-03-31
228,"50934138,85",2019-04-01,0.0,60979,3500000,9.565,Venda,2017-03-30,2922396589.46,LTN 24 meses,3500000,LTN,0,2017-03-31
228,0,2017-10-01,0.0,0,1000000,10.2849,Venda,2017-03-30,952263899.7,LTN 6 meses,1000000,LTN,0,2017-03-31
274,"73780191,79",2022-08-15,0.0,23714,822150,5.26,Venda,2017-04-04,2557914509.76,NTN-B 5 anos,1250000,NTN-B,0,2017-04-05
274,0,2055-05-15,0.0,0,25650,5.129,Venda,2017-04-04,89476176.27,NTN-B 40 anos,150000,NTN-B,0,2017-04-05
274,"297213,44",2035-05-15,0.0,89,110000,5.18,Venda,2017-04-04,367342465.7,NTN-B 20 anos,150000,NTN-B,0,2017-04-05
274,"2776955,51",2026-08-15,0.0,876,124650,5.26,Venda,2017-04-04,395145553.78,NTN-B 10 anos,1250000,NTN-B,0,2017-04-05
289,"67824165,8",2020-07-01,0.0,91753,4500000,9.904,Venda,2017-04-06,3325166650.18,LTN 48 meses,4500000,LTN,0,2017-04-07
289,"413607672,79",2019-04-01,7857701984.2,494610,4000000,9.5999,Venda,2017-04-06,3343702973.29,LTN 24 meses,4000000,LTN,9400000,2017-04-07
289,"109188089,07",2018-04-01,0.0,119200,1000000,9.5689,Venda,2017-04-06,915674680.74,LTN 12 meses,1000000,LTN,0,2017-04-07
290,"205374488,69",2023-03-01,0.0,23633,1000000,0.0593,Venda,2017-04-06,8690159786.91,LFT 6 anos,1000000,LFT,0,2017-04-07
313,"36517414,59",2027-01-01,0.0,35603,2500000,10.0999,Venda,2017-04-13,2563220477.12,NTN-F 10 anos,2500000,NTN-F,0,2017-04-17
313,"107246305,19",2023-01-01,0.0,104000,2000000,9.9886,Venda,2017-04-13,2061642423.45,NTN-F 7 anos,2000000,NTN-F,0,2017-04-17
312,"36067796,27",2020-07-01,0.0,48674,4000000,9.884,Venda,2017-04-13,2962918428.13,LTN 48 meses,4000000,LTN,0,2017-04-17
312,"86734529,64",2019-04-01,0.0,103409,4000000,9.534,Venda,2017-04-13,3353794453.24,LTN 24 meses,4000000,LTN,0,2017-04-17
312,0,2017-10-01,0.0,0,1000000,10.014,Venda,2017-04-13,957019489.0,LTN 6 meses,1000000,LTN,0,2017-04-17
327,0,2055-05-15,0.0,0,62500,5.1399,Venda,2017-04-18,218292668.06,NTN-B 40 anos,150000,NTN-B,0,2017-04-19
327,"1397681,55",2035-05-15,0.0,420,87500,5.24,Venda,2017-04-18,291183657.61,NTN-B 20 anos,150000,NTN-B,0,2017-04-19
327,0,2026-08-15,0.0,0,76700,5.23,Venda,2017-04-18,244377086.39,NTN-B 10 anos,750000,NTN-B,0,2017-04-19
327,"19031239,92",2022-08-15,0.0,6093,673300,5.2388,Venda,2017-04-18,2103025414.64,NTN-B 5 anos,750000,NTN-B,0,2017-04-19
344,"147320402,03",2018-04-01,0.0,160000,1000000,9.344,Venda,2017-04-20,920426006.8,LTN 12 meses,1000000,LTN,0,2017-04-24
344,"395071804,53",2019-04-01,0.0,469997,2500000,9.4909,Venda,2017-04-20,2100703329.08,LTN 24 meses,2500000,LTN,0,2017-04-24
345,"203229127,64",2023-03-01,0.0,23296,1000000,0.0578,Venda,2017-04-20,8723773627.76,LFT 6 anos,1000000,LFT,0,2017-04-24
344,"348776241,82",2020-07-01,0.0,469997,2500000,9.8869,Venda,2017-04-20,1854509742.79,LTN 48 meses,2500000,LTN,0,2017-04-24
372,"245001168,44",2027-01-01,0.0,241145,1500000,10.3199,Venda,2017-04-27,1523390120.17,NTN-F 10 anos,1500000,NTN-F,0,2017-04-28
372,"248171235,54",2023-01-01,0.0,241675,1500000,10.169,Venda,2017-04-27,1539727386.74,NTN-F 7 anos,1500000,NTN-F,0,2017-04-28
371,"370340008,04",2020-07-01,0.0,499975,2500000,10.0017,Venda,2017-04-27,1851091324.75,LTN 48 meses,2500000,LTN,0,2017-04-28
371,"672946493,75",2019-04-01,0.0,799860,4000000,9.53,Venda,2017-04-27,3364107813.65,LTN 24 meses,4000000,LTN,0,2017-04-28
371,"11529235,53",2017-10-01,0.0,12000,1000000,9.8839,Venda,2017-04-27,960410000.0,LTN 6 meses,1000000,LTN,0,2017-04-28
375,"243481488,31",2022-08-15,0.0,78048,281600,5.32,Venda,2017-05-02,878489994.9,NTN-B 5 anos,750000,NTN-B,0,2017-05-03
375,"11657955,85",2035-05-15,0.0,3540,72350,5.359,Venda,2017-05-02,238263589.67,NTN-B 20 anos,150000,NTN-B,0,2017-05-03
375,"15916407,13",2055-05-15,0.0,4624,77650,5.249,Venda,2017-05-02,267281361.49,NTN-B 40 anos,150000,NTN-B,0,2017-05-03
375,"52021618,13",2026-08-15,0.0,16425,110000,5.35,Venda,2017-05-02,348394398.77,NTN-B 10 anos,750000,NTN-B,0,2017-05-03
381,"126782888,3",2023-03-01,0.0,14483,1000000,0.0567,Venda,2017-05-04,8753913392.84,LFT 6 anos,1000000,LFT,0,2017-05-05
380,"489024861,67",2020-07-01,0.0,657998,3500000,9.933,Venda,2017-05-04,2600222266.55,LTN 48 meses,3500000,LTN,0,2017-05-05
380,"713450710,01",2019-04-01,0.0,845998,4500000,9.4675,Venda,2017-05-04,3793596133.86,LTN 24 meses,4500000,LTN,0,2017-05-05
380,"162600915,28",2018-04-01,0.0,176000,1000000,9.274,Venda,2017-05-04,923542997.5,LTN 12 meses,1000000,LTN,0,2017-05-05
393,"192959015,36",2017-10-01,0.0,200000,1000000,9.6539,Venda,2017-05-11,964442000.0,LTN 6 meses,1000000,LTN,0,2017-05-12
393,"1188538300,26",2019-04-01,0.0,1399997,7000000,9.1899,Venda,2017-05-11,5940629360.94,LTN 24 meses,7000000,LTN,0,2017-05-12
393,"299826614,02",2020-07-01,0.0,399998,2000000,9.702,Venda,2017-05-11,1498586681.6,LTN 48 meses,2000000,LTN,0,2017-05-12
394,"412040901,29",2027-01-01,0.0,399998,2000000,10.1379,Venda,2017-05-11,2059422322.99,NTN-F 10 anos,2000000,NTN-F,0,2017-05-12
394,"207686248,63",2023-01-01,0.0,199997,1000000,9.97,Venda,2017-05-11,1038053997.94,NTN-F 7 anos,1000000,NTN-F,0,2017-05-12
396,-,2055-05-15,0.0,-,46400,4.94,Venda,2017-05-16,163947780.82,NTN-B 40 anos,300000,NTN-B,0,2017-05-17
396,-,2035-05-15,0.0,-,65700,5.03,Venda,2017-05-16,218953633.67,NTN-B 20 anos,300000,NTN-B,0,2017-05-17
396,"646183798,07",2026-08-15,0.0,199997,1000000,5.1,Venda,2017-05-16,3230967454.94,NTN-B 10 anos,1000000,NTN-B,0,2017-05-17
396,-,2022-08-15,0.0,-,0,0.0,Venda,2017-05-16,0.0,NTN-B 5 anos,1000000,NTN-B,0,2017-05-17
431,-,2018-04-01,0.0,-,0,0.0,Compra,2017-05-19,0.0,LTN 12 meses,3000000,LTN,0,2017-05-22
430,-,2018-04-01,0.0,-,0,0.0,Venda,2017-05-19,0.0,LTN 12 meses,3000000,LTN,0,2017-05-22
431,-,2019-04-01,0.0,-,0,0.0,Compra,2017-05-19,0.0,LTN 24 meses,3000000,LTN,0,2017-05-22
430,-,2019-04-01,0.0,-,0,0.0,Venda,2017-05-19,0.0,LTN 24 meses,3000000,LTN,0,2017-05-22
430,-,2020-07-01,0.0,-,2000000,11.02,Venda,2017-05-19,1447112852.0,LTN 48 meses,3000000,LTN,0,2017-05-22
431,-,2020-07-01,0.0,-,500000,11.05,Compra,2017-05-19,361475788.5,LTN 48 meses,3000000,LTN,0,2017-05-22
434,-,2022-08-15,0.0,-,32500,6.0,Venda,2017-05-19,98958479.25,NTN-B 5 anos,1000000,NTN-B,0,2017-05-22
433,-,2023-01-01,0.0,-,125000,11.45,Compra,2017-05-19,122806384.02,NTN-F 7 anos,1000000,NTN-F,0,2017-05-22
435,-,2022-08-15,0.0,-,170000,6.002,Compra,2017-05-19,517346480.47,NTN-B 5 anos,1000000,NTN-B,0,2017-05-22
434,-,2026-08-15,0.0,-,10000,5.9,Venda,2017-05-19,30644766.98,NTN-B 10 anos,1000000,NTN-B,0,2017-05-22
435,-,2026-08-15,0.0,-,20000,5.952,Compra,2017-05-19,61075535.74,NTN-B 10 anos,1000000,NTN-B,0,2017-05-22
432,-,2027-01-01,0.0,-,120000,11.62,Venda,2017-05-19,114089750.04,NTN-F 10 anos,1000000,NTN-F,0,2017-05-22
433,-,2027-01-01,0.0,-,400000,11.6289,Compra,2017-05-19,378530725.8,NTN-F 10 anos,1000000,NTN-F,0,2017-05-22
434,-,2035-05-15,0.0,-,0,0.0,Venda,2017-05-19,0.0,NTN-B 20 anos,500000,NTN-B,0,2017-05-22
435,-,2035-05-15,0.0,-,0,0.0,Compra,2017-05-19,0.0,NTN-B 20 anos,500000,NTN-B,0,2017-05-22
434,-,2055-05-15,0.0,-,0,0.0,Venda,2017-05-19,0.0,NTN-B 40 anos,500000,NTN-B,0,2017-05-22
435,-,2055-05-15,0.0,-,0,0.0,Compra,2017-05-19,0.0,NTN-B 40 anos,500000,NTN-B,0,2017-05-22
432,-,2023-01-01,0.0,-,400000,11.4399,Venda,2017-05-19,393249200.4,NTN-F 7 anos,1000000,NTN-F,0,2017-05-22
437,-,2020-07-01,0.0,-,200000,11.223,Compra,2017-05-22,143956078.0,LTN 48 meses,3000000,LTN,0,2017-05-23
436,-,2020-07-01,0.0,-,40000,11.2199,Venda,2017-05-22,28793640.04,LTN 48 meses,3000000,LTN,0,2017-05-23
440,-,2022-08-15,0.0,-,62750,6.0307,Venda,2017-05-22,190896865.77,NTN-B 5 anos,1000000,NTN-B,0,2017-05-23
437,-,2018-04-01,0.0,-,0,0.0,Compra,2017-05-22,0.0,LTN 12 meses,3000000,LTN,0,2017-05-23
436,-,2019-04-01,0.0,-,0,0.0,Venda,2017-05-22,0.0,LTN 24 meses,3000000,LTN,0,2017-05-23
436,-,2018-04-01,0.0,-,0,0.0,Venda,2017-05-22,0.0,LTN 12 meses,3000000,LTN,0,2017-05-23
437,-,2019-04-01,0.0,-,0,0.0,Compra,2017-05-22,0.0,LTN 24 meses,3000000,LTN,0,2017-05-23
441,-,2022-08-15,0.0,-,828900,6.032,Compra,2017-05-22,2519257300.74,NTN-B 5 anos,1000000,NTN-B,0,2017-05-23
438,-,2027-01-01,0.0,-,100000,11.63,Venda,2017-05-22,95065032.5,NTN-F 10 anos,1000000,NTN-F,0,2017-05-23
439,-,2023-01-01,0.0,-,120000,11.573,Compra,2017-05-22,117365446.92,NTN-F 7 anos,1000000,NTN-F,0,2017-05-23
441,-,2055-05-15,0.0,-,0,0.0,Compra,2017-05-22,0.0,NTN-B 40 anos,300000,NTN-B,0,2017-05-23
440,-,2055-05-15,0.0,-,0,0.0,Venda,2017-05-22,0.0,NTN-B 40 anos,300000,NTN-B,0,2017-05-23
441,-,2035-05-15,0.0,-,0,0.0,Compra,2017-05-22,0.0,NTN-B 20 anos,300000,NTN-B,0,2017-05-23
438,-,2023-01-01,0.0,-,100000,11.55,Venda,2017-05-22,97945315.0,NTN-F 7 anos,1000000,NTN-F,0,2017-05-23
439,-,2027-01-01,0.0,-,111000,11.65,Compra,2017-05-22,105247339.54,NTN-F 10 anos,1000000,NTN-F,0,2017-05-23
440,-,2026-08-15,0.0,-,0,0.0,Venda,2017-05-22,0.0,NTN-B 10 anos,1000000,NTN-B,0,2017-05-23
441,-,2026-08-15,0.0,-,0,0.0,Compra,2017-05-22,0.0,NTN-B 10 anos,1000000,NTN-B,0,2017-05-23
440,-,2035-05-15,0.0,-,0,0.0,Venda,2017-05-22,0.0,NTN-B 20 anos,300000,NTN-B,0,2017-05-23
442,-,2018-04-01,0.0,-,0,0.0,Venda,2017-05-23,0.0,LTN 12 meses,3000000,LTN,0,2017-05-24
443,-,2018-04-01,0.0,-,0,0.0,Compra,2017-05-23,0.0,LTN 12 meses,3000000,LTN,0,2017-05-24
443,-,2019-04-01,0.0,-,0,0.0,Compra,2017-05-23,0.0,LTN 24 meses,3000000,LTN,0,2017-05-24
442,-,2019-04-01,0.0,-,0,0.0,Venda,2017-05-23,0.0,LTN 24 meses,3000000,LTN,0,2017-05-24
443,-,2020-07-01,0.0,-,400000,11.083,Compra,2017-05-23,289155916.4,LTN 48 meses,3000000,LTN,0,2017-05-24
442,-,2020-07-01,0.0,-,100000,11.0799,Venda,2017-05-23,72295100.1,LTN 48 meses,3000000,LTN,0,2017-05-24
447,-,2022-08-15,0.0,-,8000,5.89,Compra,2017-05-23,24480650.47,NTN-B 5 anos,1000000,NTN-B,0,2017-05-24
444,-,2023-01-01,0.0,-,0,0.0,Venda,2017-05-23,0.0,NTN-F 7 anos,1000000,NTN-F,0,2017-05-24
446,-,2022-08-15,0.0,-,7350,5.88,Venda,2017-05-23,22501128.66,NTN-B 5 anos,1000000,NTN-B,0,2017-05-24
447,-,2026-08-15,0.0,-,60000,5.8,Compra,2017-05-23,185253865.98,NTN-B 10 anos,1000000,NTN-B,0,2017-05-24
446,-,2026-08-15,0.0,-,40250,5.8,Venda,2017-05-23,124420344.32,NTN-B 10 anos,1000000,NTN-B,0,2017-05-24
445,-,2027-01-01,0.0,-,0,0.0,Compra,2017-05-23,0.0,NTN-F 10 anos,1000000,NTN-F,0,2017-05-24
444,-,2027-01-01,0.0,-,0,0.0,Venda,2017-05-23,0.0,NTN-F 10 anos,1000000,NTN-F,0,2017-05-24
447,-,2035-05-15,0.0,-,0,0.0,Compra,2017-05-23,0.0,NTN-B 20 anos,300000,NTN-B,0,2017-05-24
446,-,2035-05-15,0.0,-,0,0.0,Venda,2017-05-23,0.0,NTN-B 20 anos,300000,NTN-B,0,2017-05-24
447,-,2055-05-15,0.0,-,0,0.0,Compra,2017-05-23,0.0,NTN-B 40 anos,300000,NTN-B,0,2017-05-24
446,-,2055-05-15,0.0,-,0,0.0,Venda,2017-05-23,0.0,NTN-B 40 anos,300000,NTN-B,0,2017-05-24
445,-,2023-01-01,0.0,-,0,0.0,Compra,2017-05-23,0.0,NTN-F 7 anos,1000000,NTN-F,0,2017-05-24
463,-,2055-05-15,0.0,-,2700,5.4499,Venda,2017-05-30,8838576.98,NTN-B 40 anos,150000,NTN-B,0,2017-05-31
463,-,2035-05-15,0.0,-,37350,5.548,Venda,2017-05-30,118106411.97,NTN-B 20 anos,150000,NTN-B,0,2017-05-31
463,"55690031,88",2026-08-15,0.0,17862,254800,5.687,Venda,2017-05-30,794413846.98,NTN-B 10 anos,500000,NTN-B,0,2017-05-31
463,"102393566,36",2022-08-15,0.0,33108,245200,5.69,Venda,2017-05-30,758333408.3,NTN-B 5 anos,500000,NTN-B,0,2017-05-31
470,0,2018-04-01,0.0,0,1000000,9.244,Venda,2017-06-01,930298180.89,LTN 12 meses,1000000,LTN,0,2017-06-02
470,0,2019-04-01,0.0,0,2000000,9.579,Venda,2017-06-01,1695059144.78,LTN 24 meses,2000000,LTN,0,2017-06-02
470,0,2020-07-01,0.0,0,2000000,10.2196,Venda,2017-06-01,1485280133.75,LTN 48 meses,2000000,LTN,0,2017-06-02
471,"404105378,75",2023-03-01,0.0,45741,1500000,0.044,Venda,2017-06-01,13251957429.36,LFT 6 anos,1500000,LFT,0,2017-06-02
500,"194375090,36",2017-10-01,0.0,200000,1000000,9.6547,Venda,2017-06-08,971520000.0,LTN 6 meses,1000000,LTN,0,2017-06-09
500,"169821269,7",2019-04-01,0.0,200000,1000000,9.5996,Venda,2017-06-08,848797159.05,LTN 24 meses,1000000,LTN,0,2017-06-09
