auction_number,accepted_amount_2nd_round,maturity_date,amount_to_central_bank,quantity_accepted_2nd_round,quantity_accepted,rate,auction_type,auction_date,accepted_amount,benchmark,quantity_tendered,bond_type,quantity_to_central_bank,settlement_date
93,0,2025-01-01,1390663880.0,0,2000000,12.774,Venda,2015-02-19,1738329850.66,NTN-F 10 anos,2000000,NTN-F,1600000,2015-02-20
93,0,2021-01-01,0.0,0,1500000,12.869,Venda,2015-02-19,1358480666.3,NTN-F 7 anos,1500000,NTN-F,0,2015-02-20
92,0,2019-01-01,1314845861.7,0,2416000,12.994,Venda,2015-02-19,1512698858.8,LTN 48 meses,2500000,LTN,2100000,2015-02-20
92,0,2017-07-01,1347594953.4,0,1500000,13.121,Venda,2015-02-19,1122995794.91,LTN 24 meses,1500000,LTN,1800000,2015-02-20
92,0,2015-10-01,0.0,0,10000000,13.144,Venda,2015-02-19,9273645629.08,LTN 6 meses,10000000,LTN,0,2015-02-20
100,"5577471,78",2055-05-15,0.0,2244,133650,6.33,Venda,2015-02-24,332187657.49,NTN-B 40 anos,500000,NTN-B,0,2015-02-25
100,78572906,2035-05-15,0.0,31222,164050,6.31,Venda,2015-02-24,412846237.56,NTN-B 20 anos,500000,NTN-B,0,2015-02-25
100,"473541938,29",2023-05-15,0.0,185214,926400,6.29,Venda,2015-02-24,2368553412.08,NTN-B 10 anos,1000000,NTN-B,0,2015-02-25
100,"35156493,41",2019-05-15,0.0,13619,73600,6.22,Venda,2015-02-24,189993238.86,NTN-B 5 anos,1000000,NTN-B,0,2015-02-25
108,"180048044,74",2019-01-01,1578056535.0,285237,3000000,12.825,Venda,2015-02-26,1893667841.98,LTN 48 meses,3000000,LTN,2500000,2015-02-27
108,"76933675,78",2017-07-01,1506435790.0,102140,2000000,12.9599,Venda,2015-02-26,1506435789.88,LTN 24 meses,2000000,LTN,2000000,2015-02-27
108,"564307130,71",2016-04-01,0.0,645480,10000000,13.2199,Venda,2015-02-26,8742441762.25,LTN 12 meses,10000000,LTN,0,2015-02-27
121,"1545305141,58",2015-10-01,0.0,1659000,20000000,13.234,Venda,2015-03-05,18629356731.09,LTN 6 meses,20000000,LTN,0,2015-03-06
121,0,2017-07-01,5567750061.8,0,793300,13.115,Venda,2015-03-05,596877854.82,LTN 24 meses,1500000,LTN,7400000,2015-03-06
122,0,2021-01-01,5465719146.0,0,1500000,12.83,Venda,2015-03-05,1366429785.76,NTN-F 7 anos,1500000,NTN-F,6000000,2015-03-06
122,"28202155,93",2025-01-01,5224233888.0,32390,500000,12.835,Venda,2015-03-05,435352824.21,NTN-F 10 anos,500000,NTN-F,6000000,2015-03-06
121,0,2019-01-01,4660795243.0,0,3500000,12.954,Venda,2015-03-05,2204430183.78,LTN 48 meses,3500000,LTN,7400000,2015-03-06
128,-,2055-05-15,0.0,-,0,0.0,Compra,2015-03-10,0.0,NTN-B 40 anos,150000,NTN-B,0,2015-03-11
127,"80226552,17",2055-05-15,0.0,32749,159500,6.5,Venda,2015-03-10,390733612.41,NTN-B 40 anos,500000,NTN-B,0,2015-03-11
128,-,2050-08-15,0.0,-,0,0.0,Compra,2015-03-10,0.0,,150000,NTN-B,0,2015-03-11
128,-,2045-05-15,0.0,-,0,0.0,Compra,2015-03-10,0.0,,150000,NTN-B,0,2015-03-11
128,-,2040-08-15,0.0,-,0,0.0,Compra,2015-03-10,0.0,,150000,NTN-B,0,2015-03-11
127,"94672112,43",2035-05-15,0.0,38055,132750,6.5,Venda,2015-03-10,330251555.1,NTN-B 20 anos,500000,NTN-B,0,2015-03-11
128,-,2035-05-15,0.0,-,0,0.0,Compra,2015-03-10,0.0,NTN-B 20 anos,150000,NTN-B,0,2015-03-11
127,"371374664,18",2023-05-15,0.0,145591,731800,6.48,Venda,2015-03-10,1866681177.3,NTN-B 10 anos,1000000,NTN-B,0,2015-03-11
127,"90540162,68",2019-05-15,0.0,34958,186050,6.389,Venda,2015-03-10,481863873.09,NTN-B 5 anos,1000000,NTN-B,0,2015-03-11
143,"1404333515,22",2021-03-01,0.0,210160,9718650,0.02,Venda,2015-03-12,64942047652.98,LFT 6 anos,12000000,LFT,0,2015-03-13
144,0,2019-01-01,0.0,0,3500000,13.3376,Venda,2015-03-12,2181948112.56,LTN 48 meses,3500000,LTN,0,2015-03-13
144,0,2017-07-01,0.0,0,1500000,13.5494,Venda,2015-03-12,1121566056.44,LTN 24 meses,1500000,LTN,0,2015-03-13
144,0,2016-04-01,0.0,0,8770400,13.77,Venda,2015-03-12,7666597493.32,LTN 12 meses,10000000,LTN,0,2015-03-13
160,0,2015-10-01,0.0,0,19146000,13.5449,Venda,2015-03-19,17896777225.33,LTN 6 meses,20000000,LTN,0,2015-03-20
160,0,2017-07-01,0.0,0,1500000,13.4294,Venda,2015-03-19,1127089771.0,LTN 24 meses,1500000,LTN,0,2015-03-20
160,0,2019-01-01,0.0,0,3353200,13.2694,Venda,2015-03-19,2100444303.33,LTN 48 meses,4000000,LTN,0,2015-03-20
161,0,2025-01-01,0.0,0,1500000,13.1149,Venda,2015-03-19,1294130143.25,NTN-F 10 anos,1500000,NTN-F,0,2015-03-20
156,-,2025-01-01,0.0,-,0,0.0,Compra,2015-03-19,0.0,NTN-F 10 anos,150000,NTN-F,0,2015-03-20
161,0,2021-01-01,0.0,0,1500000,13.1197,Venda,2015-03-19,1358192266.55,NTN-F 7 anos,1500000,NTN-F,0,2015-03-20
156,-,2023-01-01,0.0,-,0,0.0,Compra,2015-03-19,0.0,,150000,NTN-F,0,2015-03-20
162,"40273751,9",2055-05-15,0.0,16252,129100,6.48,Venda,2015-03-24,319920094.26,NTN-B 40 anos,300000,NTN-B,0,2015-03-25
162,"6655517,31",2035-05-15,0.0,2632,45800,6.43,Venda,2015-03-24,115814093.13,NTN-B 20 anos,300000,NTN-B,0,2015-03-25
162,"109588343,27",2023-05-15,0.0,42283,1016200,6.36,Venda,2015-03-24,2633769468.92,NTN-B 10 anos,1250000,NTN-B,0,2015-03-25
162,"70824323,94",2019-05-15,0.0,26997,233800,6.268,Venda,2015-03-24,613354333.48,NTN-B 5 anos,1250000,NTN-B,0,2015-03-25
166,"495156598,99",2019-01-01,0.0,791595,2646000,13.3799,Venda,2015-03-26,1655119551.52,LTN 48 meses,4000000,LTN,0,2015-03-27
166,"221157617,42",2017-07-01,0.0,294095,1500000,13.515,Venda,2015-03-26,1127990704.0,LTN 24 meses,1500000,LTN,0,2015-03-27
166,"1228336051,16",2016-04-01,0.0,1396810,4922400,13.674,Venda,2015-03-26,4328692790.35,LTN 12 meses,7000000,LTN,0,2015-03-27
186,"520116401,64",2025-01-01,0.0,595573,3000000,12.9623,Venda,2015-04-02,2619912596.95,NTN-F 10 anos,3000000,NTN-F,0,2015-04-06
186,"545119023,52",2021-01-01,0.0,596327,3000000,12.9879,Venda,2015-04-02,2742383074.32,NTN-F 7 anos,3000000,NTN-F,0,2015-04-06
185,"372820311,44",2019-01-01,0.0,589902,3000000,13.156,Venda,2015-04-02,1896011429.04,LTN 48 meses,3000000,LTN,0,2015-04-06
185,"225190379,25",2017-07-01,0.0,297458,1500000,13.2976,Venda,2015-04-02,1135573993.33,LTN 24 meses,1500000,LTN,0,2015-04-06
185,"2335265500,41",2015-10-01,0.0,2483567,15000000,13.36,Venda,2015-04-02,14104303417.05,LTN 6 meses,15000000,LTN,0,2015-04-06
187,0,2019-05-15,0.0,0,725900,6.3499,Venda,2015-04-07,1915278183.64,NTN-B 5 anos,1500000,NTN-B,0,2015-04-08
187,"36184611,82",2023-05-15,0.0,13818,774100,6.33,Venda,2015-04-07,2027102910.08,NTN-B 10 anos,1500000,NTN-B,0,2015-04-08
187,"769875,02",2055-05-15,0.0,300,192150,6.29,Venda,2015-04-07,493104954.95,NTN-B 40 anos,500000,NTN-B,0,2015-04-08
187,"2589398,51",2035-05-15,0.0,1000,95000,6.29,Venda,2015-04-07,245992858.71,NTN-B 20 anos,500000,NTN-B,0,2015-04-08
198,"754309111,82",2021-03-01,0.0,111887,3000000,0.0085,Venda,2015-04-09,20225124082.68,LFT 6 anos,3000000,LFT,0,2015-04-10
197,0,2019-01-01,0.0,0,5500000,12.7889,Venda,2015-04-09,3524319683.8,LTN 48 meses,5500000,LTN,0,2015-04-10
197,0,2017-07-01,0.0,0,3500000,12.987,Venda,2015-04-09,2671415517.41,LTN 24 meses,3500000,LTN,0,2015-04-10
197,"122499704,17",2016-04-01,0.0,138266,6296000,13.33,Venda,2015-04-09,5578075143.55,LTN 12 meses,7000000,LTN,0,2015-04-10
202,"766632767,59",2025-01-01,0.0,859502,4500000,12.6444,Venda,2015-04-16,4013774784.66,NTN-F 10 anos,4500000,NTN-F,0,2015-04-17
202,"739419342,81",2021-01-01,0.0,795739,4000000,12.6749,Venda,2015-04-16,3716893821.9,NTN-F 7 anos,4000000,NTN-F,0,2015-04-17
201,"381785740,34",2019-01-01,0.0,595902,3000000,12.8596,Venda,2015-04-16,1922056348.4,LTN 48 meses,3000000,LTN,0,2015-04-17
201,"211961636,94",2017-07-01,0.0,277590,1265000,13.09,Venda,2015-04-16,965926261.61,LTN 24 meses,1500000,LTN,0,2015-04-17
201,"1400981306,92",2015-10-01,0.0,1483602,8000000,13.3789,Venda,2015-04-16,7554485944.42,LTN 6 meses,8000000,LTN,0,2015-04-17
204,-,2055-05-15,0.0,-,114200,6.12,Venda,2015-04-22,302194885.2,NTN-B 40 anos,500000,NTN-B,0,2015-04-23
204,-,2035-05-15,0.0,-,49300,6.15,Venda,2015-04-22,130483082.43,NTN-B 20 anos,500000,NTN-B,0,2015-04-23
204,"207081424,15",2023-05-15,0.0,78553,495600,6.33,Venda,2015-04-22,1306500755.16,NTN-B 10 anos,1000000,NTN-B,0,2015-04-23
204,"36214803,29",2019-05-15,0.0,13762,504400,6.63,Venda,2015-04-22,1327332276.47,NTN-B 5 anos,1000000,NTN-B,0,2015-04-23
207,"961515390,13",2016-04-01,0.0,1083191,6000000,13.6447,Venda,2015-04-23,5326015761.65,LTN 12 meses,6000000,LTN,0,2015-04-24
207,"633760436,09",2019-01-01,0.0,994790,5000000,13.0918,Venda,2015-04-23,3185398106.06,LTN 48 meses,5000000,LTN,0,2015-04-24
207,"207340419,16",2017-07-01,0.0,272537,1500000,13.378,Venda,2015-04-23,1141168460.74,LTN 24 meses,1500000,LTN,0,2015-04-24
215,0,2021-01-01,0.0,0,3000000,12.83,Venda,2015-04-30,2784318256.24,NTN-F 7 anos,3000000,NTN-F,0,2015-05-04
214,0,2019-01-01,0.0,0,3500000,13.0499,Venda,2015-04-30,2238626940.68,LTN 48 meses,3500000,LTN,0,2015-05-04
214,0,2017-07-01,0.0,0,1500000,13.3437,Venda,2015-04-30,1144818575.3,LTN 24 meses,1500000,LTN,0,2015-05-04
214,"33170130,38",2015-10-01,0.0,35000,6000000,13.6275,Venda,2015-04-30,5686308068.36,LTN 6 meses,6000000,LTN,0,2015-05-04
215,"212134777,49",2025-01-01,0.0,238614,3000000,12.7989,Venda,2015-04-30,2667087145.61,NTN-F 10 anos,3000000,NTN-F,0,2015-05-04
218,"45601648,19",2055-05-15,0.0,17170,95900,6.13,Venda,2015-05-05,254699945.35,NTN-B 40 anos,300000,NTN-B,0,2015-05-06
218,"34693459,66",2035-05-15,0.0,13070,67850,6.17,Venda,2015-05-05,180103384.74,NTN-B 20 anos,300000,NTN-B,0,2015-05-06
218,"156070832,53",2023-05-15,0.0,59178,396650,6.41,Venda,2015-05-05,1046089690.93,NTN-B 10 anos,1000000,NTN-B,0,2015-05-06
218,242125361,2019-05-15,0.0,91711,603350,6.69,Venda,2015-05-05,1592898742.47,NTN-B 5 anos,1000000,NTN-B,0,2015-05-06
237,"246836821,31",2021-09-01,0.0,36291,1000000,0.0015,Venda,2015-05-07,6801600821.85,LFT 6 anos,1000000,LFT,0,2015-05-08
236,"564596851,41",2019-01-01,0.0,887243,5000000,13.269,Venda,2015-05-07,3181748697.29,LTN 48 meses,5000000,LTN,0,2015-05-08
236,"25805940,87",2017-07-01,0.0,33876,1000000,13.5439,Venda,2015-05-07,761776505.15,LTN 24 meses,1000000,LTN,0,2015-05-08
236,"96671383,89",2016-04-01,0.0,108581,2000000,13.8399,Venda,2015-05-07,1780631673.78,LTN 12 meses,2000000,LTN,0,2015-05-08
253,"1276114454,77",2015-10-01,0.0,1340856,7500000,13.72,Venda,2015-05-14,7137871931.3,LTN 6 meses,7500000,LTN,0,2015-05-15
